Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
20.454,1.33953057065e+20,5.79598463023e+19,5.81378856804e+19,9.16320705277e+16,1.1625424703e+21,3.9940215381e+13,9.2452661946e+23,1.12554680436e+25,5989900461.47,0.015528378158,6.08965651101e+24,1.93937774831e+15,2543.1174631,279407137.347,4.59161487867e+14,82910902.8051,2.51393151503e+15,1.17636622469e+15,1.01045896085e+15,2846732549.47,1141621.72901,4.07670629698e+15,8.21785888439e+20,3.5598697894e+14,353288155.433,6.11597476298e+19,2.80454655371e+19,1.36918382197e+20,8.71497394493e+14,4.81656145328e+17,2.43587758274e+25,2.36858959781e+12,2.61391156887e+17
21.1845,1.38737058105e+20,6.00298087451e+19,6.02108639713e+19,9.82903289686e+16,1.20406083989e+21,3.99401508352e+13,9.24528984294e+23,1.12554662402e+25,5989899566.14,0.0155283478371,6.08964461992e+24,2.00863927834e+15,2728.01593879,309464122.088,4.92544643472e+14,85871895.153,2.69670239996e+15,1.26189220299e+15,1.08392256909e+15,2948397948.48,1224662.04577,4.37309417265e+15,8.51134280567e+20,3.55986420844e+14,365905022.049,6.33439699258e+19,2.90470408423e+19,1.41825403966e+20,8.71495884136e+14,4.8165531059e+17,2.43587336122e+25,2.3685854929e+12,2.70726405351e+17
21.915,1.4352105662e+20,6.20997689766e+19,6.22836097877e+19,1.05181814366e+17,1.24557914021e+21,3.99400862895e+13,9.24531349122e+23,1.12554644367e+25,5989898673.08,0.0155283175162,6.08963272885e+24,2.07790067316e+15,2919.40229272,341600903.303,5.27099163259e+14,88832879.8202,2.885886067e+15,1.35041901267e+15,1.15996375493e+15,3050063083.78,1310617.29988,4.67988106401e+15,8.80482596566e+20,3.55985862748e+14,378521846.562,6.55281875929e+19,3.00486128052e+19,1.46732417231e+20,8.71494373781e+14,4.81654475854e+17,2.4358691397e+25,2.368581388e+12,2.80061637636e+17
22.6455,1.4830505261e+20,6.41697269968e+19,6.43561231565e+19,1.12306499891e+17,1.28709737127e+21,3.99400217438e+13,9.24533713943e+23,1.12554626333e+25,5989897782.27,0.0155282871954,6.0896208378e+24,2.1471619328e+15,3117.27653442,375886990.448,5.6282504895e+14,91793856.8068,3.08148250044e+15,1.4419466479e+15,1.23858251208e+15,3151727955.36,1399487.48069,4.99706693315e+15,9.09830836436e+20,3.55985304653e+14,391138628.973,6.77124006311e+19,3.10501814258e+19,1.51639421995e+20,8.71492863428e+14,4.8165364112e+17,2.43586491819e+25,2.3685772831e+12,2.89396853743e+17
23.376,1.53089046075e+20,6.62396828056e+19,6.64284041046e+19,1.19664358718e+17,1.32861553307e+21,3.99399571984e+13,9.24536078759e+23,1.12554608298e+25,5989896893.72,0.0155282568747,6.08960894677e+24,2.21642305724e+15,3321.63867344,412391892.964,5.99722302265e+14,94754826.1126,3.28349168459e+15,1.53647510286e+15,1.31977883424e+15,3253392563.22,1491272.57761,5.32465174219e+15,9.39179000178e+20,3.55984746559e+14,403755369.282,6.98966090406e+19,3.20517467041e+19,1.56546418255e+20,8.71491353078e+14,4.81652806388e+17,2.43586069669e+25,2.36857317822e+12,2.98732053671e+17
24.1065,1.57873037017e+20,6.83096364032e+19,6.85004526586e+19,1.27255364025e+17,1.3701336256e+21,3.9939892653e+13,9.24538443568e+23,1.12554590263e+25,5989896007.43,0.015528226554,6.08959705577e+24,2.28568404649e+15,3532.48871931,451185120.271,6.37790924928e+14,97715787.7378,3.49191360376e+15,1.63400437172e+15,1.40355271511e+15,3355056907.37,1585972.57999,5.66263545323e+15,9.68527087792e+20,3.55984188466e+14,416372067.488,7.20808128212e+19,3.30533086403e+19,1.61453406013e+20,8.71489842731e+14,4.81651971658e+17,2.4358564752e+25,2.36856907334e+12,3.08067237421e+17
24.837,1.62657025435e+20,7.03795877895e+19,7.05722688454e+19,1.35079488993e+17,1.41165164887e+21,3.99398281078e+13,9.24540808372e+23,1.12554572229e+25,5989895123.41,0.0155281962334,6.0895851648e+24,2.35494490056e+15,3749.82668155,492336181.777,6.77030918658e+14,100676741.682,3.70674824224e+15,1.73453444867e+15,1.4899041484e+15,3456720987.81,1683587.47722,6.01101802838e+15,9.97875099278e+20,3.55983630374e+14,428988723.592,7.4265011973e+19,3.40548672342e+19,1.66360385268e+20,8.71488332387e+14,4.8165113693e+17,2.43585225371e+25,2.36856496846e+12,3.17402404993e+17
25.5675,1.67441011331e+20,7.24495369646e+19,7.26438526918e+19,1.43136706804e+17,1.45316960288e+21,3.99397635626e+13,9.24543173169e+23,1.12554554194e+25,5989894241.64,0.0155281659129,6.08957327384e+24,2.42420561944e+15,3973.65256971,535914586.869,7.17442285177e+14,103637687.946,3.92799558433e+15,1.83806532789e+15,1.57883312782e+15,3558384804.53,1784117.25867,6.36979942974e+15,1.02722303464e+21,3.55983072283e+14,441605337.594,7.6449206496e+19,3.50564224858e+19,1.7126735602e+20,8.71486822045e+14,4.81650302203e+17,2.43584803224e+25,2.3685608636e+12,3.26737556386e+17
26.298,1.72224994704e+20,7.45194839284e+19,7.47152042246e+19,1.51426990647e+17,1.49468748762e+21,3.99396990176e+13,9.2454553796e+23,1.12554536159e+25,5989893362.14,0.0155281355924,6.08956138291e+24,2.49346620316e+15,4203.96639331,581989844.919,7.59025026206e+14,106598626.53,4.15565561435e+15,1.94459700355e+15,1.67033964706e+15,3660048357.54,1887561.91373,6.73897961942e+15,1.05657089387e+21,3.55982514193e+14,454221909.494,7.86333963901e+19,3.60579743953e+19,1.7617431827e+20,8.71485311705e+14,4.81649467478e+17,2.43584381076e+25,2.36855675874e+12,3.36072691601e+17
27.0285,1.77008975557e+20,7.65894286811e+19,7.67863234705e+19,1.59950313711e+17,1.5362053031e+21,3.99396344728e+13,9.24547902746e+23,1.12554518125e+25,5989892484.89,0.0155281052719,6.089549492e+24,2.5627266517e+15,4440.76816189,630631465.28,8.01779143466e+14,109559557.432,4.3897283166e+15,2.05412946984e+15,1.76442369983e+15,3761711646.84,1993921.43178,7.11855855953e+15,1.08591867697e+21,3.55981956104e+14,466838439.292,8.08175816555e+19,3.70595229626e+19,1.81081272016e+20,8.71483801369e+14,4.81648632754e+17,2.4358395893e+25,2.36855265389e+12,3.45407810637e+17
