Mass then Time (d),H1,H2,H3,He3,He4,He6,Li6,Li7,Li8,Be8,Be9,Be10,Be11,B10,B11,B12,C12,C13,C14,C15,N13,N14,N15,N16,N17,O16,O17,O18,O19,F18,F19,F20,Ne20
20.454,1.33953023235e+20,5.79598160062e+19,5.81346315498e+19,9.48974033641e+16,1.16254151389e+21,3.99402153936e+13,9.24526619628e+23,1.12554680467e+25,5989900494.75,0.015528378163,6.08965651299e+24,1.93937587766e+15,2633.94856019,308201450.854,4.75560731162e+14,82910796.2229,2.60371137363e+15,1.21837828221e+15,1.04654541267e+15,2846728889.98,1182431.28119,4.2222940487e+15,8.21784832031e+20,3.55986979049e+14,353287570.034,6.11596835251e+19,2.80454190659e+19,1.36918264729e+20,8.71497394758e+14,4.81656145479e+17,2.4358775835e+25,2.36858959854e+12,2.61390933376e+17
21.1845,1.38737023076e+20,6.00297773673e+19,6.02074940093e+19,1.01671892864e+17,1.20405984932e+21,3.99401508478e+13,9.24528984459e+23,1.12554662432e+25,5989899600.55,0.0155283478421,6.08964462191e+24,2.00863734094e+15,2822.0911721,340294800.932,5.09529604443e+14,85871784.7645,2.78968848433e+15,1.30540462072e+15,1.12129774346e+15,2948394158.3,1266928.9415,4.52388098584e+15,8.51133186432e+20,3.55986420953e+14,365904415.744,6.33439035317e+19,2.90469927115e+19,1.41825282302e+20,8.71495884402e+14,4.8165531074e+17,2.43587336198e+25,2.36858549364e+12,2.70726173858e+17
21.915,1.43521020392e+20,6.20997365172e+19,6.22801240211e+19,1.08679582609e+17,1.24557811549e+21,3.99400863021e+13,9.24531349283e+23,1.12554644398e+25,5989898708.61,0.0155283175213,6.08963273085e+24,2.07789866902e+15,3016.72167387,374537468.037,5.44669844005e+14,88832765.6254,2.98207836349e+15,1.39543178573e+15,1.19862764638e+15,3050059162.91,1354341.52946,4.8358669041e+15,8.80481464704e+20,3.55985862858e+14,378521219.351,6.55281189095e+19,3.00485630148e+19,1.46732291373e+20,8.71494374048e+14,4.81654476003e+17,2.43586914047e+25,2.36858138874e+12,2.80061398161e+17
22.6455,1.48305015184e+20,6.41696934557e+19,6.4352521612e+19,1.15920445775e+17,1.2870963124e+21,3.99400217566e+13,9.24533714102e+23,1.12554626363e+25,5989897818.94,0.0155282872006,6.08962083981e+24,2.14715986191e+15,3217.84007503,410998961.98,5.80981451567e+14,91793738.8056,3.18088099541e+15,1.48845977144e+15,1.27853511514e+15,3151723903.8,1444669.03445,5.1582517656e+15,9.09829666847e+20,3.55985304763e+14,391137980.857,6.77123296584e+19,3.10501299758e+19,1.51639291941e+20,8.71492863697e+14,4.81653641268e+17,2.43586491897e+25,2.36857728385e+12,2.89396606286e+17
23.376,1.53089007452e+20,6.62396481829e+19,6.64246868087e+19,1.2339445554e+17,1.32861444004e+21,3.99399572112e+13,9.24536078915e+23,1.12554608329e+25,5989896931.52,0.0155282568799,6.0896089488e+24,2.21642091961e+15,3425.44638513,449748792.553,6.18464428853e+14,94754704.3052,3.38609636441e+15,1.58448857201e+15,1.36102014345e+15,3253388380.98,1537911.44584,5.49103553243e+15,9.39177792863e+20,3.5598474667e+14,403754700.26,6.98965357785e+19,3.20516935946e+19,1.56546284007e+20,8.71491353349e+14,4.81652806534e+17,2.43586069747e+25,2.36857317897e+12,2.98731798232e+17
24.1065,1.57872997197e+20,6.83096006989e+19,6.84966196382e+19,1.31101585087e+17,1.37013249842e+21,3.99398926659e+13,9.24538443721e+23,1.12554590294e+25,5989896046.36,0.0155282265592,6.08959705781e+24,2.28568184213e+15,3639.54061368,490856469.529,6.57118777582e+14,97715662.1241,3.59772445477e+15,1.68351818164e+15,1.446082725e+15,3355052594.44,1634068.75302,5.8342181667e+15,9.6852584275e+20,3.55984188577e+14,416371377.56,7.20807372698e+19,3.30532538712e+19,1.61453267569e+20,8.71489843004e+14,4.81651971801e+17,2.43585647598e+25,2.36856907409e+12,3.08066974e+17
24.837,1.62656984419e+20,7.03795510037e+19,7.05683201271e+19,1.39041807601e+17,1.41165048753e+21,3.99398281207e+13,9.24540808521e+23,1.12554572259e+25,5989895163.47,0.0155281962386,6.08958516684e+24,2.35494262947e+15,3860.12277024,534391502.667,6.96944499476e+14,100676612.262,3.81576525082e+15,1.7855485945e+15,1.53372285349e+15,3456716544.19,1733140.94536,6.18779963052e+15,9.9787381651e+20,3.55983630486e+14,428988012.759,7.42649341322e+19,3.40548108055e+19,1.66360242629e+20,8.71488332661e+14,4.8165113707e+17,2.4358522545e+25,2.36856496922e+12,3.17402133589e+17
25.5675,1.67440969119e+20,7.24494990972e+19,7.26397883022e+19,1.4721509627e+17,1.45316840738e+21,3.99397635756e+13,9.24543173316e+23,1.12554554225e+25,5989894282.83,0.0155281659181,6.0895732759e+24,2.42420328163e+15,4087.19286432,580423401.707,7.37941596257e+14,103637554.72,4.04021873684e+15,1.89057980476e+15,1.62394052264e+15,3558380230.23,1835128.01224,6.55177988599e+15,1.02722171414e+21,3.55983072395e+14,441604605.856,7.64491263659e+19,3.50563643977e+19,1.71267209186e+20,8.7148682232e+14,4.8165030234e+17,2.43584803302e+25,2.36856086436e+12,3.26737277e+17
26.298,1.72224951298e+20,7.45194449795e+19,7.47110241904e+19,1.55621424285e+17,1.49468625797e+21,3.99396990307e+13,9.24545538104e+23,1.1255453619e+25,5989893404.46,0.0155281355977,6.08956138498e+24,2.49346379862e+15,4320.75090547,629021676.371,7.80110069645e+14,106598489.497,4.27108489715e+15,1.99861180661e+15,1.71673572615e+15,3660043652.55,1940029.94303,6.92615889523e+15,1.05656953565e+21,3.55982514306e+14,454221156.851,7.86333139708e+19,3.60579146476e+19,1.76174167241e+20,8.71485311982e+14,4.81649467612e+17,2.43584381156e+25,2.3685567595e+12,3.36072404233e+17
27.0285,1.77008930956e+20,7.65893886507e+19,7.67820278184e+19,1.64260764841e+17,1.53620403929e+21,3.99396344859e+13,9.24547902887e+23,1.12554518155e+25,5989892528.35,0.0155281052772,6.08954949409e+24,2.56272418044e+15,4560.79690321,680255836.367,8.23449921362e+14,109559416.594,4.50836371604e+15,2.10964459423e+15,1.81210845772e+15,3761706811.16,2047846.72712,7.31093662032e+15,1.08591728102e+21,3.55981956217e+14,466837665.744,8.08174969469e+19,3.70594615554e+19,1.81081116793e+20,8.71483801647e+14,4.81648632885e+17,2.4358395901e+25,2.36855265466e+12,3.45407515287e+17
27.759,1.81792908094e+20,7.86593301107e+19,7.8852799213e+19,1.73133091136e+17,1.57772175135e+21,3.99395699412e+13,9.24550267663e+23,1.12554500121e+25,5989891654.49,0.0155280749569,6.08953760321e+24,2.63198442709e+15,4807.33086708,734195391.383,8.67961153129e+14,112520336.01,4.75205517783e+15,2.2236781618e+15,1.91005871106e+15,3863369706.06,2158578.35389,7.70611302339e+15,1.11526495027e+21,3.55981398129e+14,479454132.536,8.30016752942e+19,3.80610051209e+19,1.85988057842e+20,8.71482291315e+14,4.8164779816e+17,2.43583536864e+25,2.36854854981e+12,3.54742610163e+17
28.4895,1.86576882712e+20,8.07292693596e+19,8.0923338401e+19,1.8223837637e+17,1.61923939415e+21,3.99395053966e+13,9.24552632433e+23,1.12554482086e+25,5989890782.9,0.0155280446366,6.08952571236e+24,2.70124453859e+15,5060.35280662,790909851.091,9.13643766667e+14,115481247.745,5.0021592668e+15,2.3407125035e+15,2.01058647986e+15,3965032337.25,2272224.8127,8.11168806654e+15,1.14461254339e+21,3.55980840042e+14,492070557.226,8.51858490127e+19,3.90625453443e+19,1.90894990389e+20,8.71480780985e+14,4.81646963436e+17,2.4358311472e+25,2.36854444498e+12,3.64077688861e+17
29.22,1.91360854812e+20,8.27992063974e+19,8.29936454091e+19,1.91576593746e+17,1.66075696768e+21,3.99394408522e+13,9.24554997197e+23,1.12554464051e+25,5989889913.57,0.0155280143164,6.08951382154e+24,2.77050451493e+15,5319.86273135,850468725.147,9.60497763697e+14,118442151.8,5.25867596728e+15,2.4607476135e+15,2.11369175784e+15,4066694704.73,2388786.09294,8.52766171187e+15,1.17396006039e+21,3.55980281956e+14,504686939.814,8.73700181025e+19,4.00640822254e+19,1.95801914433e+20,8.71479270657e+14,4.81646128714e+17,2.43582692576e+25,2.36854034015e+12,3.73412751381e+17
